from,to,x1,y1,z1,x2,y2,z2,th1_a,th2_a,th1_b,th2_b,dTh1,dTh2,dZ,dist_xyz,rep,time_ms
E1,E2,207.0,-342.0,28.0,207.0,-192.0,28.0,-60.5427438858443,3.9492909450046634,-81.14223010514085,91.11833911238998,20.59948621929655,87.16904816738531,0.0,150.0,1,793.6743952764527
E1,E2,207.0,-342.0,28.0,207.0,-192.0,28.0,-60.5427438858443,3.9492909450046634,-81.14223010514085,91.11833911238998,20.59948621929655,87.16904816738531,0.0,150.0,2,787.2285181668353
E1,E2,207.0,-342.0,28.0,207.0,-192.0,28.0,-60.5427438858443,3.9492909450046634,-81.14223010514085,91.11833911238998,20.59948621929655,87.16904816738531,0.0,150.0,3,806.5417060102
E1,E3,207.0,-342.0,28.0,-207.0,-342.0,28.0,-60.5427438858443,3.9492909450046634,-122.91269320332108,3.9492909450046634,62.36994931747678,0.0,0.0,414.0,1,538.4221650453378
E1,E3,207.0,-342.0,28.0,-207.0,-342.0,28.0,-60.5427438858443,3.9492909450046634,-122.91269320332108,3.9492909450046634,62.36994931747678,0.0,0.0,414.0,2,522.407927787484
E1,E3,207.0,-342.0,28.0,-207.0,-342.0,28.0,-60.5427438858443,3.9492909450046634,-122.91269320332108,3.9492909450046634,62.36994931747678,0.0,0.0,414.0,3,544.839538489249
E1,E4,207.0,-342.0,28.0,-207.0,-192.0,28.0,-60.5427438858443,3.9492909450046634,-175.44815568334178,91.11833911238998,114.90541179749748,87.16904816738531,0.0,440.33623516581054,1,918.6360797782366
E1,E4,207.0,-342.0,28.0,-207.0,-192.0,28.0,-60.5427438858443,3.9492909450046634,-175.44815568334178,91.11833911238998,114.90541179749748,87.16904816738531,0.0,440.33623516581054,2,909.7131027282143
E1,E4,207.0,-342.0,28.0,-207.0,-192.0,28.0,-60.5427438858443,3.9492909450046634,-175.44815568334178,91.11833911238998,114.90541179749748,87.16904816738531,0.0,440.33623516581054,3,868.4426977548084
E1,T1,207.0,-342.0,28.0,290.0,-200.0,25.0,-60.5427438858443,3.9492909450046634,-59.224278860592435,57.034975047121236,1.318465025251868,53.08568410211657,3.0,164.50531906294094,1,496.71587939397625
E1,T1,207.0,-342.0,28.0,290.0,-200.0,25.0,-60.5427438858443,3.9492909450046634,-59.224278860592435,57.034975047121236,1.318465025251868,53.08568410211657,3.0,164.50531906294094,2,512.7695546066938
E1,T1,207.0,-342.0,28.0,290.0,-200.0,25.0,-60.5427438858443,3.9492909450046634,-59.224278860592435,57.034975047121236,1.318465025251868,53.08568410211657,3.0,164.50531906294094,3,529.3845656538086
E1,T2,207.0,-342.0,28.0,290.0,-200.0,147.0,-60.5427438858443,3.9492909450046634,-59.224278860592435,57.034975047121236,1.318465025251868,53.08568410211657,119.0,203.0123148973973,1,722.9853417451402
E1,T2,207.0,-342.0,28.0,290.0,-200.0,147.0,-60.5427438858443,3.9492909450046634,-59.224278860592435,57.034975047121236,1.318465025251868,53.08568410211657,119.0,203.0123148973973,2,775.6413195127974
E1,T2,207.0,-342.0,28.0,290.0,-200.0,147.0,-60.5427438858443,3.9492909450046634,-59.224278860592435,57.034975047121236,1.318465025251868,53.08568410211657,119.0,203.0123148973973,3,749.9633374297845
E1,T3,207.0,-342.0,28.0,175.0,-8.0,25.0,-60.5427438858443,3.9492909450046634,-52.601651287123126,129.94443805183695,7.941092598721177,125.99514710683229,3.0,335.542843762164,1,1070.8867554157391
E1,T3,207.0,-342.0,28.0,175.0,-8.0,25.0,-60.5427438858443,3.9492909450046634,-52.601651287123126,129.94443805183695,7.941092598721177,125.99514710683229,3.0,335.542843762164,2,1075.5869647118927
E1,T3,207.0,-342.0,28.0,175.0,-8.0,25.0,-60.5427438858443,3.9492909450046634,-52.601651287123126,129.94443805183695,7.941092598721177,125.99514710683229,3.0,335.542843762164,3,1081.2859353740967
E1,T4,207.0,-342.0,28.0,175.0,-8.0,147.0,-60.5427438858443,3.9492909450046634,-52.601651287123126,129.94443805183695,7.941092598721177,125.99514710683229,119.0,356.00702240264866,1,1099.4842026926788
E1,T4,207.0,-342.0,28.0,175.0,-8.0,147.0,-60.5427438858443,3.9492909450046634,-52.601651287123126,129.94443805183695,7.941092598721177,125.99514710683229,119.0,356.00702240264866,2,1115.2562735193924
E1,T4,207.0,-342.0,28.0,175.0,-8.0,147.0,-60.5427438858443,3.9492909450046634,-52.601651287123126,129.94443805183695,7.941092598721177,125.99514710683229,119.0,356.00702240264866,3,1085.9800727097247
E1,T5,207.0,-342.0,28.0,330.0,-5.0,25.0,-60.5427438858443,3.9492909450046634,-30.63151571123601,69.42528215850687,29.911228174608294,65.47599121350221,3.0,358.7575783171695,1,657.8230576368362
